Numberrange,USN,Name,Branch
34,1BM20IS034,Alma Lyons,Information Science,1
14,1BM20IS014,Gareth Moon,Information Science,2
48,1BM20IS048,Isaac Thompson,Information Science,3
60,1BM20IS060,Ahmed O'donnell,Information Science,4
22,1BM20IS022,Elmo Kramer,Information Science,5
18,1BM20IS018,Cooper Mendoza,Information Science,6
78,1BM20IS078,Colby Clements,Information Science,7
5,1BM20IS005,Whitney Juarez,Information Science,8
21,1BM20IS021,Alec Kemp,Information Science,9
55,1BM20IS055,Larissa Delgado,Information Science,10
24,1BM20IS024,Reese Everett,Information Science,11
64,1BM20IS064,Sarah Johnson,Information Science,12
30,1BM20IS030,Tucker Calderon,Information Science,13
37,1BM20IS037,Thane Witt,Information Science,14
36,1BM20IS036,Beau Herrera,Information Science,15
65,1BM20IS065,Velma Alford,Information Science,16
77,1BM20IS077,Mallory Vega,Information Science,17
49,1BM20IS049,Moses Casey,Information Science,18
41,1BM20IS041,Melinda Daugherty,Information Science,19
1,1BM20IS001,Richard Ellison,Information Science,20
75,1BM20CS075,Lacy Gilbert,Computer Science,21
52,1BM20CS052,Bethany Acosta,Computer Science,22
65,1BM20CS065,Tanya Donovan,Computer Science,23
54,1BM20CS054,David Barnes,Computer Science,24
36,1BM20CS036,Phyllis Atkins,Computer Science,25
59,1BM20CS059,Carissa Black,Computer Science,26
9,1BM20CS009,Addison Mcmahon,Computer Science,27
43,1BM20CS043,Charles Navarro,Computer Science,28
58,1BM20CS058,Fletcher Franks,Computer Science,29
4,1BM20CS004,Gretchen Albert,Computer Science,30
64,1BM20CS064,Dorothy Gomez,Computer Science,31
5,1BM20CS005,Darryl Erickson,Computer Science,32
48,1BM20CS048,Harding Gay,Computer Science,33
76,1BM20CS076,Herrod Guerra,Computer Science,34
72,1BM20CS072,Gretchen Keith,Computer Science,35
3,1BM20CS003,John Santana,Computer Science,36
21,1BM20CS021,Erica Solomon,Computer Science,37
47,1BM20CS047,Stuart Montoya,Computer Science,38
19,1BM20CS019,Fletcher Pennington,Computer Science,39
32,1BM20CS032,Kieran Mcbride,Computer Science,40
