Numberrange,USN,Name,Branch
63,1BM20CS063,Vivian Stanton,Computer Science,1
33,1BM20CS033,Beck Wise,Computer Science,2
78,1BM20CS078,Lois Arnold,Computer Science,3
79,1BM20CS079,Rebecca Beasley,Computer Science,4
27,1BM20CS027,Odysseus Francis,Computer Science,5
12,1BM20CS012,Shellie Page,Computer Science,6
1,1BM20CS001,Sonya Ferrell,Computer Science,7
67,1BM20AI067,Erich Adams,Artificial Intelligence,8
50,1BM20CS050,Velma Anderson,Computer Science,9
24,1BM20CS024,Myles Lynch,Computer Science,10
34,1BM20AI034,Blossom Finch,Artificial Intelligence,11
31,1BM20CS031,Emerson Vasquez,Computer Science,12
16,1BM20CS016,Maryam Rice,Computer Science,13
12,1BM20AI012,Garth Ward,Artificial Intelligence,14
44,1BM20CS044,Francis Vang,Computer Science,15
80,1BM20AI080,Ira Swanson,Artificial Intelligence,16
52,1BM20AI052,Buckminster Love,Artificial Intelligence,17
51,1BM20CS051,Bethany Vance,Computer Science,18
17,1BM20CS017,Jade Massey,Computer Science,19
2, 1BM20AI002,Ava Simmons,Artificial Intelligence,20
73,1BM20CS073,Lacey Matthews,Computer Science,21
33,1BM20AI033,Jelani Rosa,Artificial Intelligence,22
20,1BM20AI020,Sierra Rodgers,Artificial Intelligence,23
39,1BM20CS039,Danielle Rogers,Computer Science,24
69,1BM20CS069,Sean Thornton,Computer Science,25
70,1BM20CS070,Maggie Phelps,Computer Science,26
42,1BM20AI042,Kelly Pitts,Artificial Intelligence,27
54,1BM20AI054,Yvonne Mathis,Artificial Intelligence,28
8,1BM20CS008,Lucian Buckner,Computer Science,29
41,1BM20CS041,Clio Avery,Computer Science,30
37,1BM20AI037,Ezra Dyer,Artificial Intelligence,31
73,1BM20AI073,Vance Oneil,Artificial Intelligence,32
21,1BM20AI021,Ariel Odom,Artificial Intelligence,33
78,1BM20AI078,Olga Franks,Artificial Intelligence,34
75,1BM20AI075,Declan Berger,Artificial Intelligence,35
56,1BM20AI056,Nolan Ross,Artificial Intelligence,36
64,1BM20AI064,Breanna Garrison,Artificial Intelligence,37
70,1BM20AI070,Diana Mcpherson,Artificial Intelligence,38
47,1BM20AI047,Xavier Jones,Artificial Intelligence,39
6,1BM20AI006,Jason Rogers,Artificial Intelligence,40
