Numberrange,USN,Name,Branch
46,1BM20IS046,Cain Tanner,Information Science,1
44,1BM20IS044,Abra Pena,Information Science,2
35,1BM20IS035,Nomlanga Banks,Information Science,3
53,1BM20AI053,Timon Gardner,Artificial Intelligence,4
20,1BM20IS020,Hakeem Pope,Information Science,5
45,1BM20IS045,Vance Benton,Information Science,6
66,1BM20IS066,Yuli Sanders,Information Science,7
70,1BM20IS070,Wyatt Hawkins,Information Science,8
4,1BM20AI004,Ethan Case,Artificial Intelligence,9
69,1BM20AI069,Lila Sampson,Artificial Intelligence,10
27,1BM20AI027,Quemby Huff,Artificial Intelligence,11
31,1BM20IS031,Aline Hines,Information Science,12
46,1BM20AI046,Elijah Ware,Artificial Intelligence,13
33,1BM20IS033,Josephine Atkinson,Information Science,14
73,1BM20IS073,Oprah Reyes,Information Science,15
71,1BM20IS071,Christopher Sanford,Information Science,16
16,1BM20IS016,Colby Malone,Information Science,17
41,1BM20AI041,Lucius Galloway,Artificial Intelligence,18
61,1BM20IS061,Trevor Cunningham,Information Science,19
9,1BM20AI009,Clementine Gonzalez,Artificial Intelligence,20
9,1BM20IS009,Macaulay Kirkland,Information Science,21
35,1BM20AI035,Jameson Woodard,Artificial Intelligence,22
72,1BM20IS072,Ross Gregory,Information Science,23
80,1BM20IS080,Courtney Winters,Information Science,24
63,1BM20IS063,Dustin Mitchell,Information Science,25
68,1BM20IS068,Yael Hall,Information Science,26
13,1BM20AI013,Price Meyers,Artificial Intelligence,27
10,1BM20AI010,Debra Kramer,Artificial Intelligence,28
40,1BM20AI040,Shad Wooten,Artificial Intelligence,29
25,1BM20AI025,Keith Browning,Artificial Intelligence,30
22,1BM20AI022,Lee Orr,Artificial Intelligence,31
44,1BM20AI044,Jenna Hale,Artificial Intelligence,32
76,1BM20AI076,Ciara Alexander,Artificial Intelligence,33
62,1BM20AI062,Kai Doyle,Artificial Intelligence,34
38,1BM20IS038,Hilary Atkins,Information Science,35
29,1BM20IS029,Aidan Flores,Information Science,36
7,1BM20AI007,Kylynn Glenn,Artificial Intelligence,37
63,1BM20AI063,Fredericka Ellison,Artificial Intelligence,38
45,1BM20AI045,Anne Pope,Artificial Intelligence,39
5,1BM20AI005,Dalton Hinton,Artificial Intelligence,40
