Numberrange,USN,Name,Branch
40,1BM20IS040,Karleigh Walter,Information Science,1
56,1BM20IS056,Edan Fischer,Information Science,2
79,1BM20IS079,Joshua Kerr,Information Science,3
74,1BM20IS074,Blaze Massey,Information Science,4
75,1BM20IS075,Kelly Beard,Information Science,5
43,1BM20IS043,Brett Browning,Information Science,6
32,1BM20IS032,Cyrus Romero,Information Science,7
2,1BM20IS002,Serina Avery,Information Science,8
11,1BM20IS011,Joy Alvarez,Information Science,9
54,1BM20IS054,Gil Norris,Information Science,10
42,1BM20IS042,Oleg Rhodes,Information Science,11
58,1BM20IS058,Melinda Dominguez,Information Science,12
69,1BM20IS069,Kaye Orr,Information Science,13
19,1BM20IS019,Merrill Mcintyre,Information Science,14
30,1BM20CS030,Dalton Benson,Computer Science,15
40,1BM20CS040,Yeo Duran,Computer Science,16
26,1BM20CS026,Ainsley Lang,Computer Science,17
62,1BM20IS062,Tanner Wooten,Information Science,18
17,1BM20IS017,Brennan Sweeney,Information Science,19
66,1BM20CS066,Graiden Lynn,Computer Science,20
26,1BM20IS026,Scott Ware,Information Science,21
29,1BM20CS029,Devin Gibbs,Computer Science,22
14,1BM20CS014,Adena Keith,Computer Science,23
13,1BM20CS013,Alice Roberson,Computer Science,24
76,1BM20IS076,Trevor Joyner,Information Science,25
27,1BM20IS027,Yoko Ortega,Information Science,26
62,1BM20CS062,Regan Gibbs,Computer Science,27
53,1BM20IS053,Chadwick Santana,Information Science,28
49,1BM20CS049,Jesse Scott,Computer Science,29
46,1BM20CS046,Serena Holman,Computer Science,30
45,1BM20CS045,Maite Briggs,Computer Science,31
55,1BM20CS055,Victor O'Neill,Computer Science,32
71,1BM20CS071,Leo Browning,Computer Science,33
11,1BM20CS011,Duncan Moran,Computer Science,34
74,1BM20CS074,Briar Bradley,Computer Science,35
23,1BM20CS023,Odysseus Tate,Computer Science,36
34,1BM20CS034,Adrian Cochran,Computer Science,37
37,1BM20CS037,Colin Finch,Computer Science,38
28,1BM20CS028,Dominic Grimes,Computer Science,39
56,1BM20CS056,Kibo Livingston,Computer Science,40
